Number	Name	CodeNr	CodeTxt
102	Production of electricity by biomass and waste	i40.11.g	A_POWB
103	Production of electricity by solar photovoltaic	i40.11.h	A_POWS
104	Production of electricity by solar thermal	i40.11.i	A_POWE
105	Production of electricity by tide, wave, ocean	i40.11.j	A_POWO
106	Production of electricity by Geothermal	i40.11.k	A_POWM
107	Production of electricity nec	i40.11.l	A_POWZ
108	Transmission of electricity	i40.12	A_POWT
109	Distribution and trade of electricity	i40.13	A_POWD
110	"Manufacture of gas; distribution of gaseous fuels through mains"	i40.2	A_GASD
111	Steam and hot water supply	i40.3	A_HWAT
112	Collection, purification and distribution of water (41)	i41	A_WATR
113	Construction (45)	i45	A_CONS
114	Re-processing of secondary construction material into aggregates	i45.w	A_CONW
115	Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries	i50.a	A_TDMO
116	Retail sale of automotive fuel	i50.b	A_TDFU
117	Wholesale trade and commission trade, except of motor vehicles and motorcycles (51)	i51	A_TDWH
118	"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)"	i52	A_TDRT
119	Hotels and restaurants (55)	i55	A_HORE
120	Transport via railways	i60.1	A_TRAI
121	Other land transport	i60.2	A_TLND
122	Transport via pipelines	i60.3	A_TPIP
123	Sea and coastal water transport	i61.1	A_TWAS
124	Inland water transport	i61.2	A_TWAI
125	Air transport (62)	i62	A_TAIR
126	"Supporting and auxiliary transport activities; activities of travel agencies (63)"	i63	A_TAUX
127	Post and telecommunications (64)	i64	A_PTEL
128	Financial intermediation, except insurance and pension funding (65)	i65	A_FINT
129	Insurance and pension funding, except compulsory social security (66)	i66	A_FINS
130	Activities auxiliary to financial intermediation (67)	i67	A_FAUX
131	Real estate activities (70)	i70	A_REAL
132	Renting of machinery and equipment without operator and of personal and household goods (71)	i71	A_MARE
133	Computer and related activities (72)	i72	A_COMP
134	Research and development (73)	i73	A_RESD
135	Other business activities (74)	i74	A_OBUS
136	"Public administration and defence; compulsory social security (75)"	i75	A_PADF
137	Education (80)	i80	A_EDUC
138	Health and social work (85)	i85	A_HEAL
139	Incineration of waste: Food	i90.1.a	A_INCF
140	Incineration of waste: Paper	i90.1.b	A_INCP
141	Incineration of waste: Plastic	i90.1.c	A_INCL
142	Incineration of waste: Metals and Inert materials	i90.1.d	A_INCM
143	Incineration of waste: Textiles	i90.1.e	A_INCT
144	Incineration of waste: Wood	i90.1.f	A_INCW
145	Incineration of waste: Oil/Hazardous waste	i90.1.g	A_INCO
146	Biogasification of food waste, incl. land application	i90.2.a	A_BIOF
147	Biogasification of paper, incl. land application	i90.2.b	A_BIOP
148	Biogasification of sewage slugde, incl. land application	i90.2.c	A_BIOS
149	Composting of food waste, incl. land application	i90.3.a	A_COMF
150	Composting of paper and wood, incl. land application	i90.3.b	A_COMW
151	Waste water treatment, food	i90.4.a	A_WASF
152	Waste water treatment, other	i90.4.b	A_WASO
153	Landfill of waste: Food	i90.5.a	A_LANF
154	Landfill of waste: Paper	i90.5.b	A_LANP
155	Landfill of waste: Plastic	i90.5.c	A_LANL
156	Landfill of waste: Inert/metal/hazardous	i90.5.d	A_LANI
157	Landfill of waste: Textiles	i90.5.e	A_LANT
158	Landfill of waste: Wood	i90.5.f	A_LANW
159	Activities of membership organisation n.e.c. (91)	i91	A_ORGA
160	Recreational, cultural and sporting activities (92)	i92	A_RECR
161	Other service activities (93)	i93	A_OSER
162	Private households with employed persons (95)	i95	A_PRHH
163	Extra-territorial organizations and bodies	i99	A_EXTO
